,City,Country,ID,Latitude,Longitude,Max Temp,Cloudiness,Humidity,Wind Speed,Date
0,Nizhnyaya Salda,RU,1497393,58.07,60.71,19.44,27,88,6.11,1574038460
1,Mar del Plata,AR,3863379,-46.43,-67.52,62.1,39,25,29.89,1574038461
2,Chabahar,IR,1161724,25.29,60.65,68.32,0,41,4.52,1574038462
3,Mataura,NZ,6201424,-46.19,168.86,52.0,67,64,18.01,1574038463
4,Yellowknife,CA,6185377,62.45,-114.38,6.8,90,77,14.99,1574038199
5,Vaini,IN,1273574,15.34,74.49,67.5,89,77,8.68,1574038465
6,Provideniya,RU,4031574,64.42,-173.23,26.6,75,79,8.95,1574038466
7,Willowmore,ZA,939676,-33.3,23.49,43.0,12,79,2.3,1574038467
8,Port Elizabeth,US,4501427,39.31,-74.98,44.01,90,75,12.75,1574038470
9,San Quintin,PH,1688687,17.54,120.52,76.41,78,81,1.41,1574038471
10,Norman Wells,CA,6089245,65.28,-126.83,-0.4,90,84,4.7,1574038472
11,Tuktoyaktuk,CA,6170031,69.44,-133.03,-14.8,20,75,8.05,1574038473
12,Altea,ES,2521804,38.6,-0.05,55.0,75,93,3.36,1574038475
13,Grand-Santi,GF,3381538,4.27,-54.38,74.82,96,85,1.52,1574038476
14,Barcelos,BR,3665098,-0.97,-62.93,74.95,66,90,1.57,1574038477
15,Tabou,CI,2281120,4.42,-7.36,77.02,95,94,4.43,1574038479
16,Novoanninskiy,RU,519062,50.53,42.67,34.0,13,90,1.01,1574038412
17,Chapayevka,RU,2122104,53.06,158.83,28.4,20,68,22.37,1574038481
18,Omboue,GA,2396853,-1.57,9.26,74.41,100,98,3.31,1574038482
19,Clyde River,CA,5924351,70.47,-68.59,12.2,90,92,21.92,1574038483
20,Puerto Ayora,EC,3652764,-0.74,-90.35,73.4,40,69,18.34,1574038484
21,Pontes e Lacerda,BR,3453060,-15.23,-59.33,77.83,38,59,1.3,1574038488
22,Benguela,AO,3351663,-12.58,13.4,75.63,100,79,3.76,1574038489
23,Lagoa,PT,2267254,37.14,-8.45,59.0,75,93,16.11,1574038490
24,Kodiak,US,4407665,39.95,-94.76,44.6,75,65,4.7,1574038491
25,Qaanaaq,GL,3831208,77.48,-69.36,1.53,45,46,11.01,1574038492
26,Moosomin,CA,6078359,50.14,-101.67,31.71,100,91,10.51,1574038495
27,Necochea,AR,3430443,-38.55,-58.74,55.99,60,85,2.26,1574038496
28,Touros,BR,3386213,-5.2,-35.46,78.8,40,78,5.82,1574038235
29,Busselton,AU,2075265,-33.64,115.35,73.99,15,40,8.81,1574038498
30,Atuona,PF,4020109,-9.8,-139.03,80.17,2,65,12.88,1574038500
31,Jamestown,AU,2069194,-33.21,138.6,79.97,0,15,10.2,1574038501
32,Khatanga,RU,2022572,71.98,102.47,-11.58,100,94,9.53,1574038502
33,Nome,US,4732862,30.04,-94.42,59.0,1,62,3.38,1574038504
34,Ushuaia,AR,3833367,-54.81,-68.31,42.8,40,75,24.16,1574038447
35,Panikian,PH,1720561,13.29,121.15,86.0,74,70,2.77,1574038506
36,Ribeira Grande,PT,3372707,38.52,-28.7,63.14,100,85,14.61,1574038507
37,Ust-Nera,RU,2120048,64.57,143.24,-10.05,100,94,4.94,1574038508
38,La Rioja,AR,3848950,-29.41,-66.86,79.2,0,36,0.38,1574038509
